HEAD	RELATION	TAIL
Cognitive deficit in communication skills	associated_with	Impaired cognition
Cognitive deficit in visuospatial function	associated_with	Impaired cognition
Medicinal product	associated_with	Combined drug dependence, excluding opioids
Medicinal product	associated_with	Combined drug dependence, excluding opioid, continuous
Medicinal product	associated_with	Combined drug dependence, excluding opioid, episodic
Medicinal product	associated_with	Combined opioid with other drug dependence
Medicinal product	associated_with	Combined opioid with other drug dependence, continuous
Medicinal product	associated_with	Combined opioid with other drug dependence, episodic
Medicinal product	associated_with	Combined opioid with other drug dependence in remission
Medicinal product	associated_with	Glue sniffing dependence
Medicinal product	associated_with	Glue sniffing dependence, continuous
Medicinal product	associated_with	Glue sniffing dependence, episodic
Medicinal product	associated_with	Glue sniffing dependence in remission
Medicinal product	associated_with	Methadone dependence
Medicinal product	associated_with	Continuous opioid dependence
Medicinal product	associated_with	Episodic opioid dependence
Medicinal product	associated_with	Opioid dependence in remission
Medicinal product	associated_with	Active drug dependence
Disorder of bone	associated_with	Local orbit deformity associated with bone disorder
Rosacea	associated_with	Rosacea blepharoconjunctivitis
Intraocular implant	associated_with	Pseudophakic corneal edema
Grafting procedure	associated_with	Corneal graft rejection
Hypoparathyroidism	associated_with	Cataract in hypoparathyroidism
Congenital anomaly of eye	associated_with	Glaucoma and corneal anomaly
External orbital prosthesis	associated_with	Mechanical complication of eye orbit prosthesis
Disease	associated_with	Lung involvement associated with another disorder
Dialysis procedure	associated_with	Dialysis-associated hypoxia
Fever	associated_with	Toxic inhalation-induced febrile illness
Fever	associated_with	Humidifier fever
Fever	associated_with	Pulmonary mycotoxicosis
Sepsis	associated_with	Sepsis-associated lung injury
Artificial respiration	associated_with	Ventilator-associated lung injury
Disease	associated_with	Acute and subacute infective endocarditis associated with another disorder
Cardiac valve prosthesis	associated_with	Prosthetic valve endocarditis
Dilated cardiomyopathy secondary to fungal myocarditis	associated_with	Fungal myocarditis
Dilated cardiomyopathy secondary to metazoal myocarditis	associated_with	Parasitic myocarditis
Friedreich's ataxia	associated_with	Cardiomyopathy in Friedreich's ataxia
Steinert myotonic dystrophy syndrome	associated_with	Cardiomyopathy in myotonic dystrophy
Disorder of myocardium associated with rejection of cardiac transplant	associated_with	Cardiac transplant rejection
Hypoventilation	associated_with	Pulmonary hypertension associated with chronic underventilation
Traumatic injury	associated_with	Fulminant fat embolism syndrome
Implant	associated_with	Disorder of cardiovascular prostheses and implants
Umbrella device	associated_with	Disorder of vena cava umbrella
Vascular device	associated_with	Mechanical complication of vascular device
Implant	associated_with	Leakage due to cardiac device
Cardiac valve prosthesis	associated_with	Disorder of prosthetic cardiac valve
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve dehiscence
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve component embolism
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve regurgitation
Cardiac valve prosthesis	associated_with	Prosthetic cardiac paravalvular leak
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve thrombosis
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve obstruction
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve vegetation
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve calcification
Cardiac valve prosthesis	associated_with	Prosthetic cardiac valve displacement
Cardiac pacemaker	associated_with	Disorder of cardiac pacemaker system
Cardiac pacemaker electrode	associated_with	Disorder of cardiac pacemaker electrode
Cardiac pacemaker electrode	associated_with	Pacemaker electrode infection
Cardiac pacemaker electrode	associated_with	Pacemaker electrode displacement
Cardiac pacemaker lead	associated_with	Pacemaker electrode lead fracture
Cardiac pacemaker lead	associated_with	Pacemaker electrode lead displacement
Pacemaker pulse generator	associated_with	Disorder of pacemaker pulse generator
Pacemaker pulse generator	associated_with	Pacemaker pulse generator failure
Cardiac pacemaker	associated_with	Disorder of pacing function
Cardiac pacemaker	associated_with	Failure of cardiac pacemaker to capture
Cardiac pacemaker	associated_with	Cardiac pacemaker sensitivity problem
Cardiac pacemaker	associated_with	Oversensing cardiac pacemaker
Cardiac pacemaker	associated_with	Undersensing cardiac pacemaker
Cardiac pacemaker	associated_with	Cardiac pacemaker myoinhibition
Cardiac pacemaker	associated_with	Cardiac pacemaker electrical interference
Cardiac pacemaker	associated_with	Cardiac pacemaker syndrome
Cardiac pacemaker	associated_with	Pacemaker re-entrant tachycardia
Cardiac pacemaker	associated_with	Runaway cardiac pacemaker
Cardiac pacemaker	associated_with	Cross-talk in dual chamber cardiac pacemaker
Implantable defibrillator	associated_with	Disorder of implantable defibrillator
Implantable defibrillator	associated_with	Disorder of implanted cardiac defibrillator electrode
Implantable defibrillator	associated_with	Implanted defibrillator electrode infection
Implantable defibrillator	associated_with	Implanted defibrillator electrode displacement
Implantable defibrillator	associated_with	Implanted defibrillator electrode lead fracture
Implantable defibrillator	associated_with	Implanted defibrillator electrode lead displacement
Implantable defibrillator	associated_with	Disorder of implanted defibrillator generator
Implantable defibrillator	associated_with	Implanted defibrillator generator infection
Implantable defibrillator	associated_with	Implanted defibrillator generator failure
Implantable defibrillator	associated_with	Disorder of defibrillator function
Implantable defibrillator	associated_with	High threshold for implanted defibrillator
Implantable defibrillator	associated_with	Inappropriate shocks from implanted defibrillator
Aortic pulsation balloon	associated_with	Disorder of intra-aortic pulsation balloon
Aortic pulsation balloon	associated_with	Intra-aortic balloon rupture
Aortic pulsation balloon	associated_with	Intra-aortic balloon infection
Aortic pulsation balloon	associated_with	Intra-aortic balloon thrombosis
Aortic pulsation balloon	associated_with	Inadequate aortic balloon augmentation
Dental prosthesis	associated_with	Failure of dental prosthesis
Nasogastric tube	associated_with	Nasogastric tube esophagitis
Prosthetic implant	associated_with	Disorder of implanted esophageal antireflux device
Prosthetic implant	associated_with	Displacement of esophageal antireflux device
Prosthetic implant	associated_with	Infection of esophageal antireflux device
Sepsis	associated_with	Sepsis-related gastritis
Disease	associated_with	Nephrotic syndrome in amyloidosis
Hemodialysis	associated_with	Hyperchloremic acidosis associated with dialysis
Hemodialysis	associated_with	Hypercalcemia associated with chronic dialysis
Disorder of pancreas	associated_with	Malnutrition-related diabetes mellitus - fibrocalculous
Disorder of pancreas	associated_with	Diabetes mellitus associated with pancreatic disease
Genetic syndrome	associated_with	Diabetes mellitus associated with genetic syndrome
Genetic syndrome	associated_with	Hyperproinsulinemia
Genetic syndrome	associated_with	Insulin-dependent diabetes mellitus secretory diarrhea syndrome
Genetic syndrome	associated_with	Diabetes-deafness syndrome maternally transmitted
Neoplastic disease	associated_with	Diencephalic syndrome secondary to tumor
Disorder of thyroid gland	associated_with	Thyroid-associated dermopathy
Disorder of thyroid gland	associated_with	Thyroid acropachy
Renal impairment	associated_with	Renal failure-associated hyperphosphatemia
Lactose	associated_with	Primary lactose intolerance
Systemic inflammatory response syndrome associated with organ dysfunction	associated_with	Organ dysfunction syndrome
Sepsis	associated_with	Sepsis-associated organ dysfunction
Sepsis	associated_with	Sepsis-related gastrointestinal ulceration
Tuberculosis	associated_with	Tuberculid
Tuberculosis	associated_with	Papular tuberculide
Tuberculosis	associated_with	Nodular tuberculide
Grafting procedure	associated_with	Arterial thrombosis of flap
Disease	associated_with	Psoriatic arthritis with spine involvement
Disorder of nervous system	associated_with	Diabetic neuropathic arthropathy
Disorder of endocrine system	associated_with	Myopathy in hyperparathyroidism
Disease	associated_with	Secondary ossification of muscle
AIDS	associated_with	Cachexia associated with AIDS
Bee sting	associated_with	Bee sting-induced anaphylaxis
Wasp sting	associated_with	Wasp sting-induced anaphylaxis
Hemodialysis	associated_with	Dialysis membrane-induced anaphylactoid reaction
Cardiac valve prosthesis	associated_with	Prosthetic aortic valve regurgitation
Cardiac valve prosthesis	associated_with	Paraprosthetic aortic regurgitation
Mitral valve prosthesis	associated_with	Prosthetic mitral valve regurgitation
Cardiac valve prosthesis	associated_with	Paraprosthetic mitral regurgitation
Congenital atresia of tricuspid valve	associated_with	Double inlet ventricle
Abnormality of right atrioventricular valve in double inlet ventricle	associated_with	Double inlet ventricle
Imperforate right atrioventricular valve	associated_with	Double inlet ventricle
Right atrioventricular valve dysplasia	associated_with	Double inlet ventricle
Overriding right atrioventricular valve	associated_with	Double inlet ventricle
Straddling right atrioventricular valve	associated_with	Double inlet ventricle
Abnormality of left atrioventricular valve in double inlet ventricle	associated_with	Double inlet ventricle
Left atrioventricular valve atresia	associated_with	Double inlet ventricle
Imperforate left atrioventricular valve	associated_with	Double inlet ventricle
Left atrioventricular valve dysplasia	associated_with	Double inlet ventricle
